Lithology,SampleID,SampleLabel,3breaks,RebreakNumber,length,width,height,A,De2m,Demm,VolwithCup,Volcm3,DryMass,WetMass,SoakStart,break date,LoadNormaltoBed?,LMPa,Cup Weight,Notes,PKN,CorrectionFactor (F),IsMPa,Is50MPa,,Piston Area (A)
C2,C2-6,C2-6,0,0,7.8,4.5,3.9,17.55,0.002234537,47.27089261,141,113,364,364,1/20/2023,1/26/2023,1,4.81,,,0.00455988,0.975058583,2.040637238,1.989740853,,
C2,C2-7,C2-7,1,0,8.1,4.8,3.7,17.76,0.002261275,47.55286891,145,117,363,364,12/7/2022,1/19/2023,1,4.03,,,0.00382044,0.977671654,1.689506771,1.651782879,,
C2,C2-8,C2-8,1,0,6.1,4.3,3.9,16.77,0.002135225,46.2084897,96,68,263,266,1/20/2023,1/26/2023,1,2.48,,"broke on first pump, wet surface shows pre-existing crack",0.00235104,0.965135513,1.101073905,1.062685528,,
C2,C2-9,C2-9,1,0,6.7,3.9,3.8,14.82,0.001886943,43.43895256,100,72,257,258,1/19/2023,1/26/2023,1,6.54,,,0.00619992,0.938661928,3.285696132,3.084157865,,
C2,C2-1,C2-1-1,0,1,8.1,4.7,4.8,22.56,0.002872431,53.59506357,165,137,374,377,1/27/2023,3/1/2023,0,12.07,,,0.01144236,1.03173854,3.983511054,4.10994188,,
C2,C2-10,C2-10-1,1,1,4.3,2.5,3.1,7.75,0.000986761,31.41275984,63,35,92,92,1/26/2023,3/1/2023,0,9.02,,,0.00855096,0.811262199,8.665680783,7.030139247,,
C2,C2-10,C2-10-2,1,1,4.4,3.2,3.3,10.56,0.001344542,36.66799824,79,51,131,131,1/27/2023,3/1/2023,0,10.46,,,0.00991608,0.869746598,7.375061024,6.414434239,,
C2,C2-11,C2-11-1,0,1,4.1,3.7,3.4,12.58,0.001601737,40.02170286,69,41,81,82,3/2/2023,4/9/2023,1,3.8,,,0.0036024,0.90468315,2.249058787,2.034685588,,
C2,C2-2,C2-2-1,1,1,4.7,3.2,4.2,13.44,0.001711235,41.36708104,91,63,203,203,1/27/2023,3/1/2023,0,14.98,,,0.01420104,0.918244198,8.298706334,7.62023894,,
C2,C2-2,C2-2-2,1,1,5.3,4.2,4.6,19.32,0.002459901,49.59738782,92,64,241,242,1/27/2023,3/1/2023,1,12.21,,,0.01157508,0.996368433,4.705506674,4.688418311,,
C2,C2-3,C2-3-1,1,1,5.1,4.7,3.2,15.04,0.001914954,43.76018616,84,56,149,150,2/7/2023,3/1/2023,1,11.84,,,0.01122432,0.941779256,5.861404832,5.520149484,,
C2,C2-3,C2-3-2,1,1,9.2,8.4,5.4,45.36,0.005775419,75.99618052,215,187,561,561,1/26/2023,3/1/2023,1,17.2,,,0.0163056,1.207312765,2.823275458,3.4085765,,
C2,C2-4,C2-4-1,0,1,7.3,5.3,3.3,17.49,0.002226898,47.19001849,91,63,224,224,1/26/2023,3/1/2023,1,6.91,,,0.00655068,0.974307542,2.94161675,2.866039385,,
C2,C2-5,C2-5-2,0,1,5.3,4.2,3.5,14.7,0.001871664,43.2627289,104,76,176,178,2/28/2023,3/9/2023,1,9.16,,,0.00868368,0.936946423,4.639551403,4.347011092,,
